ID,Respondent Profile (Hidden),1. How did you hear about AI Janala?,2. Which language did you use in the chat?,3. What device were you on?,4. What did you ask about?,5. How clear was the answer you got?,6. How much did you trust the answer was accurate?,"7. Was anything confusing, wrong, or missing?",8. Would you recommend this to a friend or family member?,9. What is one thing that would make this more useful for you?,10. Age range and district or city
199,Banker,LinkedIn,English,Laptop or desktop,AI in government or policy,3,5,Missed some local Bangladesh context.,Maybe,Better regional language understanding,"46-55, Dhaka"
200,BCS Cadre,Other,Bengali,Phone,AI in government or policy,5,4,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"46-55, Bogura"
201,IT Professional,LinkedIn,Both,Laptop or desktop,AI and jobs,3,4,A bit confusing on specific government policies.,Yes,Citations for claims,"22-30, Dhaka"
202,Student,University,Both,Phone,AI and jobs,3,5,,Yes,Offline support through SMS,"18-24, Sylhet"
203,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,4,5,A bit confusing on specific government policies.,Yes,Include more local examples,"36-50, Rajshahi"
204,Banker,LinkedIn,English,Phone,AI in government or policy,5,3,A bit confusing on specific government policies.,Yes,Better regional language understanding,"46-55, Dhaka"
205,Banker,LinkedIn,Both,Phone,AI in government or policy,4,4,A bit confusing on specific government policies.,Yes,Include more local examples,"36-45, Chattogram"
206,Banker,LinkedIn,English,Phone,Something else (Banking automation),4,5,,Yes,Add voice input in Bengali,"46-55, Dhaka"
207,Small Business Owner,Friend or family,Both,Phone,Something else (How to grow business),2,3,Too technical.,No,Provide business advice in simple Bangla,"36-50, Khulna"
208,Student,University,Both,Phone,What AI is,4,5,,Yes,Add voice input in Bengali,"20-25, Rajshahi"
209,IT Professional,Facebook/WhatsApp,Both,Laptop or desktop,Something else (Code generation),3,2,,Yes,Include more local examples,"22-30, Dhaka"
210,BCS Cadre,Facebook/WhatsApp,English,Tablet,AI in government or policy,3,5,,Maybe,Add circular references,"28-35, Cumilla"
211,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (Marketing),2,3,Some Bengali phrasing was slightly unnatural.,Yes,Include more local examples,"50+, Rajshahi"
212,Banker,Facebook/WhatsApp,Both,Laptop or desktop,AI and jobs,4,4,A bit confusing on specific government policies.,Maybe,Better regional language understanding,"46-55, Dhaka"
213,Housewife,Friend or family,Bengali,Phone,What AI is,4,5,,Maybe,Include more local examples,"50+, Bogura"
214,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,4,Could be simpler.,Maybe,Include loan information or SME resources,"25-35, Sylhet"
215,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),5,3,,Yes,Include loan information or SME resources,"50+, Cumilla"
216,BCS Cadre,Friend or family,Both,Phone,AI and jobs,4,5,,Yes,Make it faster,"46-55, Chattogram"
217,BCS Cadre,Other,Both,Phone,AI in government or policy,4,4,A bit confusing on specific government policies.,Yes,Better regional language understanding,"36-45, Cumilla"
218,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),4,4,Missed some local Bangladesh context.,Yes,Include more local examples,"25-35, Khulna"
219,BCS Cadre,Friend or family,English,Tablet,AI in government or policy,4,4,,Yes,Add circular references,"36-45, Khulna"
220,Small Business Owner,Facebook/WhatsApp,Both,Phone,What AI is,4,5,A bit confusing on specific government policies.,Yes,Include loan information or SME resources,"50+, Chattogram"
221,BCS Cadre,LinkedIn,Both,Phone,AI in government or policy,5,4,,Yes,Add circular references,"36-45, Rajshahi"
222,Small Business Owner,Friend or family,Bengali,Tablet,Something else (How to grow business),5,4,A bit confusing on specific government policies.,Maybe,Better regional language understanding,"50+, Cumilla"
223,Student,University,Both,Phone,Something else (Scholarships/Studies),4,5,,Maybe,Better regional language understanding,"20-25, Rangpur"
224,Banker,Facebook/WhatsApp,English,Laptop or desktop,AI in government or policy,3,5,,Yes,Include more local examples,"25-35, Dhaka"
225,Banker,Other,Both,Laptop or desktop,AI and jobs,5,2,Could be simpler.,Yes,More accurate financial terminology in Bengali,"25-35, Dhaka"
226,BCS Cadre,Facebook/WhatsApp,Bengali,Phone,AI in government or policy,3,5,,Yes,Make it faster,"36-45, Rangpur"
227,Small Business Owner,Friend or family,Both,Phone,What AI is,3,5,A bit confusing on specific government policies.,No,Provide business advice in simple Bangla,"50+, Sylhet"
228,BCS Cadre,Other,Bengali,Laptop or desktop,AI and jobs,3,3,Missed some local Bangladesh context.,Maybe,Make it faster,"36-45, Dhaka"
229,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),4,3,Could be simpler.,Yes,Include loan information or SME resources,"25-35, Rangpur"
230,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,3,4,A bit confusing on specific government policies.,Maybe,Include more local examples,"19-23, Rangpur"
231,Banker,Facebook/WhatsApp,English,Phone,AI in government or policy,3,3,,Yes,Offline support through SMS,"25-35, Dhaka"
232,Student,University,Both,Phone,Something else (Scholarships/Studies),5,3,Missed some local Bangladesh context.,Maybe,Include more local examples,"19-23, Cumilla"
233,BCS Cadre,Friend or family,Both,Phone,AI in government or policy,3,4,Missed some local Bangladesh context.,Yes,Ensure strict data privacy,"36-45, Chattogram"
234,Student,University,Both,Phone,AI and jobs,3,4,A bit confusing on specific government policies.,Yes,Add voice input in Bengali,"18-24, Barishal"
235,BCS Cadre,Friend or family,English,Laptop or desktop,AI in government or policy,5,4,,Yes,Include more local examples,"28-35, Barishal"
236,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),3,4,Missed some local Bangladesh context.,No,Offline support through SMS,"25-35, Mymensingh"
237,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),5,3,,Yes,Add voice input in Bengali,"25-35, Khulna"
238,Banker,LinkedIn,English,Laptop or desktop,Something else (Banking automation),5,2,,Yes,More accurate financial terminology in Bengali,"46-55, Dhaka"
239,Banker,Facebook/WhatsApp,Both,Tablet,AI and jobs,3,5,Missed some local Bangladesh context.,No,Include more local examples,"36-45, Dhaka"
240,Banker,Friend or family,Both,Laptop or desktop,AI and jobs,4,3,Could be simpler.,Yes,Include more local examples,"46-55, Chattogram"
241,BCS Cadre,LinkedIn,English,Phone,AI in government or policy,3,5,,Yes,Ensure strict data privacy,"28-35, Rajshahi"
242,Banker,Facebook/WhatsApp,English,Laptop or desktop,Something else (Banking automation),5,2,Could be simpler.,Yes,Offline support through SMS,"36-45, Dhaka"
243,BCS Cadre,Other,Both,Laptop or desktop,What AI is,4,5,,Yes,Add circular references,"28-35, Khulna"
244,Student,University,Both,Phone,AI and jobs,4,5,Missed some local Bangladesh context.,Maybe,Better regional language understanding,"19-23, Cumilla"
245,BCS Cadre,Other,Bengali,Phone,AI in government or policy,5,3,Could be simpler.,Yes,Offline support through SMS,"28-35, Rajshahi"
246,Banker,Other,Both,Phone,AI and jobs,3,5,,Yes,More accurate financial terminology in Bengali,"36-45, Dhaka"
247,Student,Facebook/WhatsApp,English,Phone,AI and jobs,4,3,A bit confusing on specific government policies.,Yes,Include more local examples,"19-23, Barishal"
248,Student,Facebook/WhatsApp,Both,Phone,What AI is,3,5,Missed some local Bangladesh context.,Yes,Information on scholarships,"18-24, Khulna"
249,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),3,5,,Maybe,Add voice input in Bengali,"25-35, Rajshahi"
250,Banker,LinkedIn,English,Phone,AI and jobs,3,2,Missed some local Bangladesh context.,No,Better regional language understanding,"25-35, Dhaka"
251,IT Professional,Friend or family,English,Laptop or desktop,AI in government or policy,5,4,A bit confusing on specific government policies.,Yes,Make it faster,"41-50, Chattogram"
252,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (Marketing),4,5,Missed some local Bangladesh context.,Maybe,Offline support through SMS,"36-50, Rangpur"
253,IT Professional,Facebook/WhatsApp,Both,Phone,AI and jobs,5,4,A bit confusing on specific government policies.,Yes,More technical depth,"22-30, Dhaka"
254,Banker,Facebook/WhatsApp,English,Phone,Something else (Banking automation),4,3,Could be simpler.,Yes,Data on Bangladesh Bank regulations,"25-35, Dhaka"
255,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,2,5,Some Bengali phrasing was slightly unnatural.,Yes,Include loan information or SME resources,"50+, Khulna"
256,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI in government or policy,4,3,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"28-35, Rajshahi"
257,Banker,Facebook/WhatsApp,Both,Tablet,AI in government or policy,3,5,,Yes,More accurate financial terminology in Bengali,"25-35, Dhaka"
258,BCS Cadre,Facebook/WhatsApp,English,Phone,What AI is,3,5,Could be simpler.,No,Add circular references,"28-35, Chattogram"
259,Banker,Facebook/WhatsApp,English,Laptop or desktop,Something else (Banking automation),4,5,Missed some local Bangladesh context.,Yes,Make it faster,"46-55, Dhaka"
260,BCS Cadre,LinkedIn,Bengali,Phone,AI in government or policy,4,5,Missed some local Bangladesh context.,Yes,Better regional language understanding,"28-35, Mymensingh"
261,Small Business Owner,Friend or family,Bengali,Phone,What AI is,4,3,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"50+, Dhaka"
262,Banker,LinkedIn,English,Laptop or desktop,Something else (Banking automation),5,4,Could be simpler.,Maybe,Make it faster,"25-35, Dhaka"
263,BCS Cadre,LinkedIn,Both,Phone,AI and jobs,5,5,"No, it was helpful.",Yes,Better regional language understanding,"28-35, Cumilla"
264,Student,Friend or family,Bengali,Laptop or desktop,AI and jobs,4,5,Could be simpler.,Maybe,Information on scholarships,"18-24, Chattogram"
265,Banker,Facebook/WhatsApp,Both,Phone,AI in government or policy,3,5,Missed some local Bangladesh context.,Maybe,Add voice input in Bengali,"25-35, Dhaka"
266,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),2,5,Too technical.,No,Include more local examples,"36-50, Dhaka"
267,BCS Cadre,Other,English,Phone,AI in government or policy,3,4,,Maybe,Offline support through SMS,"36-45, Mymensingh"
268,Student,University,Bengali,Phone,Something else (Scholarships/Studies),5,3,Missed some local Bangladesh context.,Yes,Make it faster,"20-25, Dhaka"
269,BCS Cadre,Other,English,Laptop or desktop,AI in government or policy,4,4,Could be simpler.,Maybe,Make it faster,"28-35, Dhaka"
270,Banker,Other,Both,Laptop or desktop,AI in government or policy,4,5,Could be simpler.,Yes,Add voice input in Bengali,"46-55, Dhaka"
271,Banker,Friend or family,English,Laptop or desktop,AI in government or policy,3,5,A bit confusing on specific government policies.,Maybe,Include more local examples,"25-35, Dhaka"
272,Small Business Owner,Friend or family,Bengali,Phone,What AI is,4,3,,Yes,Provide business advice in simple Bangla,"36-50, Dhaka"
273,Small Business Owner,Other,Bengali,Phone,What AI is,4,5,,Maybe,Make it faster,"50+, Chattogram"
274,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,4,4,A bit confusing on specific government policies.,Yes,Include more local examples,"36-50, Rangpur"
275,Small Business Owner,Other,Bengali,Phone,Something else (How to grow business),2,4,Some Bengali phrasing was slightly unnatural.,Yes,Include loan information or SME resources,"50+, Rajshahi"
276,BCS Cadre,Friend or family,Bengali,Laptop or desktop,AI in government or policy,3,4,Could be simpler.,No,Include more local examples,"28-35, Mymensingh"
277,BCS Cadre,Facebook/WhatsApp,Both,Tablet,AI and jobs,3,4,Could be simpler.,Yes,Add voice input in Bengali,"28-35, Khulna"
278,BCS Cadre,Friend or family,Both,Laptop or desktop,AI in government or policy,4,4,,Yes,Ensure strict data privacy,"46-55, Mymensingh"
279,Small Business Owner,Friend or family,Bengali,Phone,What AI is,5,3,Missed some local Bangladesh context.,Yes,Provide business advice in simple Bangla,"36-50, Bogura"
280,Banker,Friend or family,Both,Phone,AI in government or policy,4,3,A bit confusing on specific government policies.,Yes,Add voice input in Bengali,"46-55, Dhaka"
281,Housewife,Friend or family,Bengali,Phone,Something else (Daily life),3,3,Could be simpler.,Maybe,Add voice input in Bengali,"25-35, Cumilla"
282,Small Business Owner,Friend or family,Bengali,Tablet,Something else (How to grow business),5,4,A bit confusing on specific government policies.,Yes,Include more local examples,"50+, Dhaka"
283,BCS Cadre,Other,Bengali,Phone,AI in government or policy,5,5,,Yes,Offline support through SMS,"36-45, Chattogram"
284,Small Business Owner,Friend or family,Bengali,Phone,What AI is,3,4,,Maybe,Better regional language understanding,"25-35, Mymensingh"
285,Banker,Other,English,Phone,AI and jobs,4,4,A bit confusing on specific government policies.,Yes,Data on Bangladesh Bank regulations,"46-55, Dhaka"
286,BCS Cadre,LinkedIn,Both,Laptop or desktop,AI and jobs,4,4,,Yes,Ensure strict data privacy,"36-45, Rangpur"
287,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,5,"No, it was helpful.",Yes,Include loan information or SME resources,"25-35, Khulna"
288,BCS Cadre,Friend or family,Both,Tablet,AI and jobs,3,5,,Yes,Add voice input in Bengali,"28-35, Sylhet"
289,BCS Cadre,LinkedIn,Bengali,Phone,What AI is,4,5,Could be simpler.,Yes,Offline support through SMS,"36-45, Khulna"
290,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,3,5,Could be simpler.,No,Make it faster,"50+, Rangpur"
291,BCS Cadre,LinkedIn,Both,Phone,AI in government or policy,3,5,Missed some local Bangladesh context.,No,Make it faster,"46-55, Rangpur"
292,Small Business Owner,Facebook/WhatsApp,Both,Phone,Something else (Marketing),5,4,,Yes,Add voice input in Bengali,"36-50, Cumilla"
293,BCS Cadre,LinkedIn,English,Laptop or desktop,AI in government or policy,4,5,,Yes,Make it faster,"46-55, Sylhet"
294,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),3,5,Missed some local Bangladesh context.,No,Better regional language understanding,"50+, Dhaka"
295,Banker,Friend or family,Both,Laptop or desktop,AI and jobs,4,2,,Yes,Data on Bangladesh Bank regulations,"25-35, Chattogram"
296,Banker,Facebook/WhatsApp,Both,Phone,AI in government or policy,3,4,Missed some local Bangladesh context.,Yes,More accurate financial terminology in Bengali,"25-35, Dhaka"
297,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,4,4,,Yes,Include more local examples,"50+, Rajshahi"
298,BCS Cadre,Friend or family,Both,Laptop or desktop,AI in government or policy,4,3,Missed some local Bangladesh context.,Yes,Ensure strict data privacy,"28-35, Rangpur"
299,IT Professional,Facebook/WhatsApp,English,Laptop or desktop,Something else (Code generation),4,2,,Yes,API access,"41-50, Dhaka"
300,IT Professional,Facebook/WhatsApp,Both,Laptop or desktop,Something else (Code generation),5,4,,Yes,More technical depth,"22-30, Dhaka"
301,BCS Cadre,Other,Bengali,Laptop or desktop,AI in government or policy,4,5,A bit confusing on specific government policies.,Yes,Ensure strict data privacy,"36-45, Dhaka"
302,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (Marketing),5,5,"No, it was helpful.",Yes,Make it faster,"36-50, Rangpur"
303,Housewife,Friend or family,Bengali,Tablet,Something else (Education for kids),4,3,A bit confusing on specific government policies.,Maybe,Make it faster,"25-35, Rajshahi"
304,Banker,LinkedIn,English,Tablet,AI in government or policy,3,4,A bit confusing on specific government policies.,Maybe,More accurate financial terminology in Bengali,"36-45, Dhaka"
305,Banker,LinkedIn,Both,Laptop or desktop,AI in government or policy,3,5,,Yes,Better regional language understanding,"46-55, Dhaka"
306,Banker,Facebook/WhatsApp,Both,Laptop or desktop,AI and jobs,3,2,A bit confusing on specific government policies.,Maybe,Make it faster,"25-35, Dhaka"
307,Small Business Owner,Other,Bengali,Phone,What AI is,5,3,Missed some local Bangladesh context.,Yes,Better regional language understanding,"36-50, Chattogram"
308,Small Business Owner,Friend or family,Bengali,Phone,What AI is,2,5,Did not fully grasp the regional context.,Yes,Make it faster,"50+, Bogura"
309,Banker,Facebook/WhatsApp,Both,Tablet,AI in government or policy,3,2,,No,Include more local examples,"46-55, Dhaka"
310,Banker,LinkedIn,English,Phone,Something else (Banking automation),5,3,Could be simpler.,Maybe,Better regional language understanding,"46-55, Chattogram"
311,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),4,3,Could be simpler.,Yes,Better regional language understanding,"25-35, Chattogram"
312,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (Marketing),4,4,,Yes,Better regional language understanding,"25-35, Rajshahi"
313,BCS Cadre,LinkedIn,Both,Laptop or desktop,AI and jobs,5,3,Missed some local Bangladesh context.,Yes,Include more local examples,"46-55, Rajshahi"
314,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI and jobs,5,5,,Maybe,Integrate directly with MOPA guidelines,"46-55, Bogura"
315,Banker,LinkedIn,Both,Phone,Something else (Banking automation),3,5,A bit confusing on specific government policies.,Yes,Make it faster,"25-35, Dhaka"
316,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),2,3,Answers were a bit too long.,No,Include loan information or SME resources,"36-50, Cumilla"
317,BCS Cadre,LinkedIn,Bengali,Phone,AI in government or policy,5,3,Could be simpler.,Yes,Make it faster,"28-35, Sylhet"
318,Banker,Facebook/WhatsApp,Both,Phone,Something else (Banking automation),3,3,,Yes,Better regional language understanding,"36-45, Dhaka"
319,BCS Cadre,LinkedIn,Both,Phone,AI and jobs,3,4,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"36-45, Chattogram"
320,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),3,4,,Maybe,Make it faster,"50+, Khulna"
321,Banker,Other,Bengali,Phone,AI and jobs,3,5,Missed some local Bangladesh context.,No,More accurate financial terminology in Bengali,"25-35, Dhaka"
322,IT Professional,LinkedIn,English,Laptop or desktop,AI and jobs,5,2,,Maybe,More technical depth,"22-30, Dhaka"
323,Student,University,English,Phone,What AI is,4,5,A bit confusing on specific government policies.,Yes,Add voice input in Bengali,"19-23, Sylhet"
324,IT Professional,LinkedIn,Both,Laptop or desktop,AI and jobs,5,4,Could be simpler.,Yes,Make it faster,"41-50, Dhaka"
325,Student,Friend or family,English,Phone,What AI is,4,4,,Yes,Offline support through SMS,"19-23, Sylhet"
326,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,4,5,Could be simpler.,Yes,Include loan information or SME resources,"50+, Dhaka"
327,Student,Facebook/WhatsApp,Both,Phone,What AI is,3,3,,Maybe,Make it faster,"18-24, Mymensingh"
328,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,4,A bit confusing on specific government policies.,Yes,Better regional language understanding,"36-50, Barishal"
329,Banker,Friend or family,Both,Phone,AI and jobs,4,5,,Yes,More accurate financial terminology in Bengali,"46-55, Dhaka"
330,BCS Cadre,Facebook/WhatsApp,Both,Laptop or desktop,AI and jobs,3,5,A bit confusing on specific government policies.,Maybe,Better regional language understanding,"36-45, Dhaka"
331,Banker,Other,Both,Laptop or desktop,AI and jobs,4,4,A bit confusing on specific government policies.,Yes,Include more local examples,"46-55, Dhaka"
332,Student,University,Bengali,Phone,AI and jobs,3,5,,Yes,Help with specific university subjects,"19-23, Barishal"
333,Student,University,Bengali,Phone,AI and jobs,5,5,"Nothing, it was very clear.",Maybe,Include more local examples,"19-23, Barishal"
334,Student,LinkedIn,Both,Phone,AI and jobs,4,3,A bit confusing on specific government policies.,Yes,Better regional language understanding,"19-23, Rajshahi"
335,Banker,Facebook/WhatsApp,English,Laptop or desktop,AI in government or policy,3,4,Could be simpler.,Yes,Include more local examples,"36-45, Chattogram"
336,Banker,LinkedIn,Both,Phone,AI in government or policy,3,2,Missed some local Bangladesh context.,Maybe,Offline support through SMS,"36-45, Sylhet"
337,BCS Cadre,Other,English,Phone,AI in government or policy,5,5,,Yes,Add circular references,"46-55, Chattogram"
338,Housewife,Friend or family,Bengali,Tablet,What AI is,4,5,,Yes,Make it faster,"25-35, Khulna"
339,Small Business Owner,Other,Bengali,Phone,Something else (How to grow business),2,3,Answers were a bit too long.,Maybe,Better regional language understanding,"36-50, Mymensingh"
340,Student,University,Bengali,Laptop or desktop,AI and jobs,5,3,Could be simpler.,Yes,Information on scholarships,"19-23, Khulna"
341,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,3,4,,No,Make it faster,"20-25, Barishal"
342,Small Business Owner,Friend or family,Bengali,Phone,Something else (Marketing),4,5,Could be simpler.,Yes,Include more local examples,"36-50, Cumilla"
343,IT Professional,Facebook/WhatsApp,English,Laptop or desktop,AI and jobs,5,4,,Yes,Better regional language understanding,"22-30, Dhaka"
344,BCS Cadre,LinkedIn,Both,Phone,AI and jobs,5,4,,Yes,Add circular references,"46-55, Rajshahi"
345,Banker,Friend or family,English,Phone,AI and jobs,5,4,,Maybe,Include more local examples,"25-35, Dhaka"
346,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,4,3,,Yes,Information on scholarships,"20-25, Chattogram"
347,IT Professional,LinkedIn,English,Tablet,Something else (Code generation),4,4,Could be simpler.,Yes,Better regional language understanding,"41-50, Dhaka"
348,BCS Cadre,LinkedIn,Both,Tablet,AI in government or policy,5,5,"No, it was helpful.",Maybe,Offline support through SMS,"46-55, Rajshahi"
349,Small Business Owner,Facebook/WhatsApp,Both,Phone,Something else (Marketing),5,3,Could be simpler.,Yes,Include more local examples,"25-35, Bogura"
350,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),3,3,,Maybe,Offline support through SMS,"36-50, Rangpur"
351,Small Business Owner,Friend or family,Both,Phone,Something else (How to grow business),4,5,A bit confusing on specific government policies.,Yes,Include more local examples,"36-50, Mymensingh"
352,BCS Cadre,Facebook/WhatsApp,Both,Laptop or desktop,What AI is,5,4,,Maybe,Make it faster,"46-55, Dhaka"
353,Student,Facebook/WhatsApp,Both,Phone,What AI is,5,4,,Yes,Include more local examples,"20-25, Dhaka"
354,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),4,4,,Yes,Offline support through SMS,"36-50, Cumilla"
355,BCS Cadre,Facebook/WhatsApp,Bengali,Laptop or desktop,AI in government or policy,4,5,Missed some local Bangladesh context.,Maybe,Ensure strict data privacy,"28-35, Cumilla"
356,Banker,LinkedIn,Both,Tablet,AI and jobs,3,2,Could be simpler.,Maybe,Make it faster,"36-45, Dhaka"
357,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,3,A bit confusing on specific government policies.,Maybe,Include loan information or SME resources,"50+, Khulna"
358,BCS Cadre,Friend or family,Bengali,Laptop or desktop,AI in government or policy,5,5,"Nothing, it was very clear.",Maybe,Add voice input in Bengali,"46-55, Mymensingh"
359,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (Marketing),2,5,Answers were a bit too long.,No,Include more local examples,"36-50, Chattogram"
360,Banker,LinkedIn,Bengali,Laptop or desktop,Something else (Banking automation),3,2,Could be simpler.,No,Data on Bangladesh Bank regulations,"25-35, Sylhet"
361,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,5,4,A bit confusing on specific government policies.,Maybe,Include more local examples,"20-25, Chattogram"
362,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,2,3,Too technical.,Maybe,Include more local examples,"50+, Rajshahi"
363,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (Marketing),5,3,,Yes,Include loan information or SME resources,"25-35, Cumilla"
364,Student,University,Both,Phone,What AI is,3,4,Could be simpler.,Yes,Information on scholarships,"19-23, Rajshahi"
365,Student,University,Bengali,Phone,AI and jobs,4,4,,Yes,Include more local examples,"20-25, Rajshahi"
366,Student,Friend or family,Both,Laptop or desktop,AI and jobs,5,5,All good.,Yes,Include more local examples,"19-23, Chattogram"
367,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,4,A bit confusing on specific government policies.,Yes,Offline support through SMS,"36-50, Dhaka"
368,Housewife,Friend or family,Bengali,Phone,What AI is,5,5,"Nothing, it was very clear.",Maybe,Offline support through SMS,"36-50, Rajshahi"
369,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),3,3,Could be simpler.,No,Provide business advice in simple Bangla,"25-35, Cumilla"
370,BCS Cadre,LinkedIn,Both,Phone,AI in government or policy,4,3,A bit confusing on specific government policies.,Yes,Add voice input in Bengali,"36-45, Mymensingh"
371,Student,Facebook/WhatsApp,Bengali,Phone,AI and jobs,4,4,,Yes,Make it faster,"20-25, Barishal"
372,BCS Cadre,Friend or family,Both,Phone,AI in government or policy,4,3,Missed some local Bangladesh context.,Yes,Include more local examples,"28-35, Khulna"
373,Small Business Owner,Friend or family,Bengali,Tablet,What AI is,3,3,,No,Make it faster,"36-50, Sylhet"
374,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,3,5,A bit confusing on specific government policies.,Yes,Offline support through SMS,"36-50, Cumilla"
375,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),3,3,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"50+, Sylhet"
376,Banker,Facebook/WhatsApp,English,Laptop or desktop,AI and jobs,3,3,Could be simpler.,No,Include more local examples,"46-55, Dhaka"
377,BCS Cadre,Other,English,Laptop or desktop,AI in government or policy,4,5,Could be simpler.,Maybe,Offline support through SMS,"36-45, Barishal"
378,Banker,LinkedIn,Both,Laptop or desktop,AI and jobs,4,2,A bit confusing on specific government policies.,Yes,Include more local examples,"36-45, Dhaka"
379,Student,Friend or family,Both,Phone,Something else (Scholarships/Studies),3,3,,Yes,Information on scholarships,"19-23, Barishal"
380,Banker,LinkedIn,English,Laptop or desktop,AI in government or policy,3,2,A bit confusing on specific government policies.,Yes,Better regional language understanding,"25-35, Dhaka"
381,Banker,Friend or family,Both,Laptop or desktop,AI and jobs,4,3,A bit confusing on specific government policies.,Yes,Make it faster,"25-35, Sylhet"
382,IT Professional,LinkedIn,English,Tablet,AI and jobs,5,2,,Yes,More technical depth,"41-50, Dhaka"
383,Student,University,Both,Phone,Something else (Scholarships/Studies),3,4,Could be simpler.,No,Include more local examples,"19-23, Cumilla"
384,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),4,5,A bit confusing on specific government policies.,Yes,Offline support through SMS,"36-50, Sylhet"
385,IT Professional,LinkedIn,English,Laptop or desktop,AI in government or policy,3,2,Missed some local Bangladesh context.,Maybe,Citations for claims,"22-30, Dhaka"
386,Student,LinkedIn,Both,Phone,AI and jobs,5,3,,Yes,Help with specific university subjects,"18-24, Chattogram"
387,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,5,4,,Yes,Better regional language understanding,"36-50, Chattogram"
388,Student,Facebook/WhatsApp,Both,Phone,What AI is,3,5,,Maybe,Information on scholarships,"18-24, Rajshahi"
389,Banker,Other,Both,Tablet,AI and jobs,5,2,Missed some local Bangladesh context.,Yes,Include more local examples,"46-55, Dhaka"
390,Student,University,Both,Phone,What AI is,5,3,,Yes,Add voice input in Bengali,"20-25, Bogura"
391,BCS Cadre,Friend or family,Bengali,Laptop or desktop,AI in government or policy,3,5,Could be simpler.,No,Offline support through SMS,"28-35, Rajshahi"
392,IT Professional,Facebook/WhatsApp,Bengali,Laptop or desktop,What AI is,3,3,,Yes,Offline support through SMS,"31-40, Dhaka"
393,BCS Cadre,Friend or family,Both,Laptop or desktop,AI in government or policy,4,3,A bit confusing on specific government policies.,Yes,Make it faster,"46-55, Barishal"
394,Small Business Owner,Facebook/WhatsApp,Bengali,Tablet,Something else (How to grow business),3,4,Missed some local Bangladesh context.,Yes,Include more local examples,"50+, Cumilla"
395,Small Business Owner,Facebook/WhatsApp,Bengali,Laptop or desktop,Something else (How to grow business),3,3,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"50+, Khulna"
396,BCS Cadre,LinkedIn,Bengali,Laptop or desktop,AI in government or policy,4,3,Missed some local Bangladesh context.,Yes,Make it faster,"46-55, Khulna"
